"species","Year","JulianDay"
"Peltogyne recifensis","2005",50
"Peltogyne recifensis","2005",50
"Peltogyne recifensis","1961",327
"Peltogyne recifensis","2004",354
"Peltogyne recifensis","2006",17
"Peltogyne recifensis","2005",50
"Peltogyne recifensis","1961",327
"Peltogyne recifensis","1968",2
"Peltogyne recifensis","1967",361
"Peltogyne recifensis","1968",309
"Peltogyne recifensis","1965",321
"Peltogyne recifensis","1965",320
"Peltogyne recifensis","2005",50
"Peltogyne recifensis","2005",50
"Peltogyne recifensis","1951",318
"Peltogyne recifensis","2008",6
"Peltogyne recifensis","2005",50
"Peltogyne recifensis","1952",319
"Peltogyne recifensis","1961",327
"Peltogyne recifensis","2005",50
"Peltogyne recifensis","2005",50
"Peltogyne recifensis","2006",17
"Peltogyne recifensis","2005",50
"Peltogyne recifensis","2004",354
"Peltogyne recifensis","1965",321
"Peltogyne recifensis","1965",320
"Peltogyne recifensis","1967",362
"Peltogyne recifensis","1991",339
"Peltogyne recifensis","1961",327
"Peltogyne recifensis","1951",348
"Peltogyne recifensis","1968",2
"Peltogyne recifensis","1965",321
"Peltogyne recifensis","1980",46
"Peltogyne recifensis","1954",305
"Peltogyne recifensis","1951",348
"Peltogyne recifensis","1951",318
"Peltogyne recifensis","1965",47
